date,stock_id,close
2020-01-02,0050,97.65
2020-01-03,0050,97.65
2020-01-06,0050,96.4
2020-01-07,0050,96.1
2020-01-08,0050,95.65
2020-01-09,0050,96.95
2020-01-10,0050,97.3
2020-01-13,0050,98.0
2020-01-14,0050,98.6
2020-01-15,0050,97.6
2020-01-16,0050,97.3
2020-01-17,0050,97.3
2020-01-20,0050,97.7
2020-01-30,0050,92.15
2020-01-31,0050,89.95
2020-02-03,0050,89.05
2020-02-04,0050,90.6
2020-02-05,0050,90.85
2020-02-06,0050,92.3
2020-02-07,0050,91.2
2020-02-10,0050,91.0
2020-02-11,0050,91.75
2020-02-12,0050,92.65
2020-02-13,0050,92.8
2020-02-14,0050,92.95
2020-02-17,0050,92.3
2020-02-18,0050,91.05
2020-02-19,0050,92.1
2020-02-20,0050,91.7
2020-02-21,0050,91.25
2020-02-24,0050,90.1
2020-02-25,0050,90.35
2020-02-26,0050,89.45
2020-02-27,0050,88.65
2020-03-02,0050,87.35
2020-03-03,0050,88.6
2020-03-04,0050,89.2
2020-03-05,0050,90.2
2020-03-06,0050,88.35
2020-03-09,0050,85.85
2020-03-10,0050,86.3
2020-03-11,0050,85.3
2020-03-12,0050,82.15
2020-03-13,0050,81.0
2020-03-16,0050,77.3
2020-03-17,0050,74.85
2020-03-18,0050,72.8
2020-03-19,0050,68.55
2020-03-20,0050,74.0
2020-03-23,0050,70.8
2020-03-24,0050,74.25
2020-03-25,0050,76.85
2020-03-26,0050,77.2
2020-03-27,0050,76.6
2020-03-30,0050,75.85
2020-03-31,0050,76.15
2020-04-01,0050,75.9
2020-04-06,0050,77.05
2020-04-07,0050,78.5
2020-04-08,0050,79.6
2020-04-09,0050,79.25
2020-04-10,0050,79.3
2020-04-13,0050,78.8
2020-04-14,0050,80.95
2020-04-15,0050,81.2
2020-04-16,0050,80.8
2020-04-17,0050,83.25
2020-04-20,0050,83.0
2020-04-21,0050,80.6
2020-04-22,0050,80.6
2020-04-23,0050,80.9
2020-04-24,0050,80.9
2020-04-27,0050,82.55
2020-04-28,0050,82.55
2020-04-29,0050,83.7
2020-04-30,0050,85.5
2020-05-04,0050,83.0
2020-05-05,0050,83.4
2020-05-06,0050,83.5
2020-05-07,0050,83.85
2020-05-08,0050,84.35
2020-05-11,0050,85.05
2020-05-12,0050,84.05
2020-05-13,0050,84.3
2020-05-14,0050,83.3
2020-05-15,0050,83.85
2020-05-18,0050,83.15
2020-05-19,0050,83.9
2020-05-20,0050,83.8
2020-05-21,0050,84.5
2020-05-22,0050,82.95
2020-05-25,0050,83.5
2020-05-26,0050,84.45
2020-05-27,0050,84.35
2020-05-28,0050,83.85
2020-05-29,0050,84.45
2020-06-01,0050,84.9
2020-06-02,0050,85.3
2020-06-03,0050,86.8
2020-06-04,0050,87.6
2020-06-05,0050,88.35
2020-06-08,0050,89.5
2020-06-09,0050,89.6
2020-06-10,0050,90.45
2020-06-11,0050,89.05
2020-06-12,0050,88.25
2020-06-15,0050,87.0
2020-06-16,0050,88.9
2020-06-17,0050,89.0
2020-06-18,0050,88.9
2020-06-19,0050,88.85
2020-06-22,0050,89.05
2020-06-23,0050,89.45
2020-06-24,0050,90.0
2020-06-29,0050,89.1
2020-06-30,0050,89.9
2020-07-01,0050,90.5
2020-07-02,0050,91.5
2020-07-03,0050,92.55
2020-07-06,0050,94.15
2020-07-07,0050,94.5
2020-07-08,0050,95.15
2020-07-09,0050,95.45
2020-07-10,0050,94.65
2020-07-13,0050,96.05
2020-07-14,0050,96.65
2020-07-15,0050,97.05
2020-07-16,0050,96.1
2020-07-17,0050,97.2
2020-07-20,0050,97.05
2020-07-21,0050,98.7
2020-07-22,0050,98.95
2020-07-23,0050,98.85
2020-07-24,0050,98.5
2020-07-27,0050,103.3
2020-07-28,0050,103.6
2020-07-29,0050,102.55
2020-07-30,0050,104.05
2020-07-31,0050,103.8
2020-08-03,0050,102.0
2020-08-04,0050,103.3
2020-08-05,0050,104.3
2020-08-06,0050,105.4
2020-08-07,0050,104.65
2020-08-10,0050,105.6
2020-08-11,0050,104.8
2020-08-12,0050,103.25
2020-08-13,0050,104.25
2020-08-14,0050,104.5
2020-08-17,0050,105.6
2020-08-18,0050,105.0
2020-08-19,0050,104.25
2020-08-20,0050,100.6
2020-08-21,0050,102.8
2020-08-24,0050,103.1
2020-08-25,0050,103.9
2020-08-26,0050,104.3
2020-08-27,0050,104.55
2020-08-28,0050,103.5
2020-08-31,0050,101.8
2020-09-01,0050,103.35
2020-09-02,0050,103.0
2020-09-03,0050,103.3
2020-09-04,0050,102.55
2020-09-07,0050,102.4
2020-09-08,0050,103.0
2020-09-09,0050,102.3
2020-09-10,0050,103.2
2020-09-11,0050,103.25
2020-09-14,0050,104.55
2020-09-15,0050,104.95
2020-09-16,0050,106.55
2020-09-17,0050,105.4
2020-09-18,0050,105.3
2020-09-21,0050,104.45
2020-09-22,0050,103.1
2020-09-23,0050,102.95
2020-09-24,0050,100.45
2020-09-25,0050,100.65
2020-09-28,0050,102.3
2020-09-29,0050,102.55
2020-09-30,0050,103.0
2020-10-05,0050,103.05
2020-10-06,0050,104.25
2020-10-07,0050,104.8
2020-10-08,0050,106.2
2020-10-12,0050,107.05
2020-10-13,0050,107.1
